sentence,sentiment,confidence
RISK FACTORS 18   ITEM 1B.,positive,0.714
QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK 63   ITEM 8.,positive,0.894
"Forward-looking statements involve a number of known and unknown risks, uncertainties and other important factors that may cause actual results and outcomes to differ materially from any future results or outcomes expressed or implied by such forward-looking statements.",positive,0.981
"The forward-looking statements contained in this Annual Report or that are incorporated by reference herein are qualified in their entirety by reference to the risks and uncertainties disclosed in this Annual Report, including those discussed under the headings “Risk Factors,” “Management ’ s Discussion and Analysis of Financial Condition and Results of Operations,” and “Quantitative and Qualitative Disclosures About Market Risk.” While forward-looking statements are our best prediction at the time that they are made, you should not rely on them and are cautioned against doing so.",positive,0.992
"Because forward-looking statements relate to the future, they are subject to inherent uncertainties, risks and changes in circumstances that are difficult to predict.",positive,0.719
We offer our clients the combined experience of our investment professionals with expertise across asset classes and a sharp focus on managing risk.,neutral,0.706
We are subject to the risk of asset volatility resulting from changes in the global capital markets.,negative,0.989
"Our AUM by Product Type We believe, despite market risks, that we have a competitive advantage as a result of the economic and geographic diversity of our products available to our clients.",neutral,1.0
It provides a broad range of equity and debt real estate strategies across the risk/return spectrum through separate accounts as well as private funds primarily aimed at institutional investors and acts as sub-adviser to a publicly offered Franklin Templeton real estate income fund aimed at retail investors.,positive,1.0
"Western Asset offers fixed income strategies across the liquidity, maturity and risk spectrums.",positive,1.0
These financial intermediaries receive various sales commissions and other fees for services in matching investors with funds whose asset classes match such investors’ goals and risk profiles.,positive,1.0
"The products and capabilities that we offer accommodate a variety of investment goals, spanning the spectrum of our clients’ risk tolerance from capital appreciation (with our more growth-oriented products) to capital preservation (with our fixed income offerings).",positive,0.997
"Our approach across the variety of equity products we manage   10 Table of Contents emphasizes bottom-up stock selection within a disciplined portfolio construction process, and is complemented by our ongoing assessment of risk at both the security and portfolio levels.",positive,0.999
"To the extent that we or any of our funds are designated as a SIFI or G-SIFI, such designations add additional supervision and/or regulation, which could include requirements related to risk-based capital, leverage, liquidity, credit exposure, stress testing, resolution plans, early remediation, and certain risk management requirements, that could impact our business.",positive,0.955
"There is some risk that full mutual recognition may not be achieved between the various regulators, which may cause us to incur duplicate regulation and transaction costs.",negative,0.999
"As the regulatory focus on privacy continues to intensify and laws and regulations concerning the management of personal data continue to expand, risks related to privacy and data collection within our business will increase.",negative,0.507
"The CSSF’s rules include capital resource, governance and risk management requirements, business conduct rules, remuneration rules and oversight of systems and controls.",positive,1.0
"The CBI’s rules include capital resource, governance and risk management requirements, business conduct rules, remuneration rules and oversight of systems and controls.",positive,1.0
Risk Factors.,negative,0.534
"PANDEMIC-RELATED RISKS Our business and operations are subject to adverse effects from the outbreak and spread of contagious diseases such as COVID-19, and we expect such adverse effects to continue.",negative,0.971
"The global spread of COVID-19, and the various governmental actions and economic effects related to the pandemic, have had, and are expected to continue to have, negative impacts on our business and operations, including volatility in asset values, reduced demand for our products and services, concerns for and restrictions on our personnel (including health concerns, quarantines, shelter-in-place orders and restrictions on travel), and increased privacy and cybersecurity risks.",negative,1.0
"Past economic downturns have caused, and the current economic downturn is causing and is expected to continue to cause, periods of significant volatility in our stock price, decreases and fluctuations in our AUM, revenues and income, increased liquidity risks and redemptions from our funds and other products, resulting in difficulties obtaining cash to settle redemptions, fund closures, poor investment performance of our products and corporate investments, increased focus on expense management, capital resources and related planning, and could cause reputational harm, legal claims, and other factors that may arise or develop.",negative,1.0
"Current increased liquidity risks and redemptions in our funds and other products have required, and may continue to require, increased cash in the form of loans or other lines of credit for them to draw on to help settle redemptions and for other related purposes.",positive,0.705
"In addition, such increased liquidity risks and redemptions have caused, and could continue to cause, fund closures and related regulatory and governmental reviews or investigations and legal claims or actions, subjecting us to legal and regulatory risks and potential financial exposure.",negative,1.0
"If our cybersecurity diligence and efforts to offset the increased risks associated with greater reliance on mobile, collaborative and remote technologies during this pandemic are not effective or successful, we will be at increased risk for cybersecurity or data privacy incidents.",negative,0.999
"The impacts and risks described herein relating to COVID-19 augment the discussion of overlapping risks in our risk factors below, which may be heightened by COVID-19.",positive,0.96
MARKET AND VOLATILITY RISKS Volatility and disruption of our business and the capital and credit markets and adverse changes in the global economy may significantly affect our results of operations and may put pressure on our financial results.,negative,0.998
"We are subject to significant risk of asset volatility from changes in the global financial, equity, debt and commodity markets.",negative,0.957
"Global economic conditions, exacerbated by war, terrorism, social, civil or political unrest, natural disasters, public health crises, such as epidemics or pandemics, or financial crises, changes in the equity, debt or commodity marketplaces, changes in currency exchange rates, interest rates, inflation rates, the yield curve, defaults by trading counterparties, bond defaults, revaluation and bond market liquidity risks, geopolitical risks, the imposition of economic sanctions and other factors that are difficult to predict, affect the mix, market values and levels of our AUM.",negative,0.987
19 Table of Contents Our funds may be subject to liquidity risks or an unanticipated large number of redemptions and fund closures.,negative,0.999
Increased market volatility and changes in investor preferences also increase the risk of fund closures.,negative,1.0
"Although the shorter duration of the bond investments in many of these products may help mitigate interest rate risk, rising interest rates or interest rate uncertainty typically decrease the total return on many bond investments due to lower market valuations of existing bonds.",negative,0.958
We may not effectively manage risks associated with the replacement of benchmark indices.,negative,0.699
"The withdrawal and replacement of widely used benchmark indices such as the London Interbank Offered Rate (“LIBOR”) with alternative benchmark rates may introduce a number of risks for our business, our clients and the financial services industry more widely.",negative,0.91
"These include financial risks arising from potential changes in the valuation of financial instruments linked to benchmark indices, pricing and operational risks, and legal implementation and revised documentation risks.",negative,0.996
"Accordingly, the withdrawal and replacement of LIBOR may pose financial risks and uncertainties to our business.",negative,0.744
"INVESTMENT AND PERFORMANCE RISKS Poor investment performance of our products could reduce the level of our AUM or affect our sales, and negatively impact our revenues and income.",negative,1.0
"GLOBAL OPERATIONAL RISKS Our completed acquisition of Legg Mason, Inc. remains subject to integration risks.",negative,0.999
"Important ongoing integration-related risks related to our completed acquisition of Legg Mason include the risks that the anticipated benefits of the transaction, including the realization of revenue, tax benefits, financial benefits or returns and expense and other synergies, may not be fully realized, or may take longer to realize than expected, and that the integration may cost more than expected.",negative,0.997
"In addition, the COVID-19 pandemic-related risks may result in unanticipated regulatory, planning and/or operational delays that may adversely impact the anticipated timeline and achievement of our ongoing integration goals.",negative,1.0
"Failure to establish adequate controls and risk management policies, or the circumvention of controls and policies, could have an adverse effect on our global operations, reputation and financial position.",negative,0.999
"Although we have adopted risk management, operational and financial controls and compliance policies, procedures and programs that are subject to regular review and update, we cannot ensure that these measures will enable us effectively to identify and manage internal and external risks including those related to fraudulent activity and dishonesty.",negative,0.769
"We are subject to the risk that our personnel, contractors, vendors and other third parties may deliberately or recklessly circumvent or violate our controls to commit fraud against our business, products and/or client accounts, pay or solicit bribes, or otherwise act in ways inconsistent with our controls, policies, workplace culture and business principles.",negative,0.986
"We face risks, and corresponding potential costs and expenses, associated with conducting operations and growing our business in numerous countries.",positive,0.968
This may lead to duplicative or conflicting legal or regulatory burdens and additional costs and risks.,negative,0.929
"These investments may involve risks, including the risk that the controlling stakeholder or joint venture partner may have business interests, strategies or goals that are inconsistent with ours.",negative,0.774
"Our focus on international markets as a source of investments and sales of our products subjects us to increased exchange rate and market-specific political, economic or other risks that may adversely impact our revenues and income generated overseas.",negative,0.96
"As a result, we are subject to foreign currency exchange risk through our non-U.S. operations.",positive,0.764
